Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
male,group C,some high school,standard,none,56,47,40
female,group E,some college,standard,none,66,66,60
female,group D,some college,free/reduced,completed,46,68,67
female,group D,high school,free/reduced,none,38,58,54
male,group B,some high school,standard,none,78,64,60
male,group E,high school,standard,completed,94,86,84
female,group C,some college,free/reduced,none,34,49,46
female,group D,associate's degree,standard,none,62,75,74
female,group A,bachelor's degree,standard,completed,64,68,77
male,group C,associate's degree,free/reduced,none,44,47,43
female,group D,some college,free/reduced,none,62,74,75
male,group C,high school,standard,none,80,71,76
female,group D,master's degree,standard,completed,87,100,100
male,group B,some high school,standard,none,63,55,60
female,group D,high school,free/reduced,none,44,49,49
female,group D,master's degree,standard,none,88,96,100
female,group C,some high school,standard,none,50,57,52
female,group C,associate's degree,free/reduced,completed,67,78,84
female,group C,some college,standard,completed,70,84,90
female,group C,high school,standard,none,60,72,68
male,group D,high school,standard,completed,66,64,68
female,group D,some college,free/reduced,none,52,55,54
male,group B,high school,standard,none,71,65,61
male,group C,some high school,standard,none,86,87,78
female,group D,associate's degree,free/reduced,none,29,42,40
female,group D,some high school,standard,none,75,79,74
female,group B,bachelor's degree,free/reduced,none,54,75,66
female,group D,associate's degree,standard,none,78,80,77
male,group B,some high school,standard,completed,60,61,56
male,group C,some college,standard,completed,52,57,57
male,group E,high school,standard,none,89,71,69
male,group D,some high school,standard,none,90,79,76
male,group C,associate's degree,free/reduced,none,73,60,61
female,group C,master's degree,free/reduced,completed,40,50,53
male,group D,some college,standard,none,98,84,85
female,group E,some high school,free/reduced,none,55,59,56
female,group C,some high school,free/reduced,none,52,72,66
female,group C,associate's degree,standard,completed,76,75,76
female,group C,high school,standard,none,65,73,72
female,group E,associate's degree,free/reduced,completed,66,75,75
male,group B,some high school,standard,completed,79,75,77
female,group B,some college,standard,none,81,88,91
male,group D,some college,standard,none,85,89,85
female,group C,some high school,standard,completed,49,62,67
male,group C,some college,standard,none,75,65,63
female,group C,some college,standard,none,62,64,67
female,group E,some high school,standard,none,93,92,89
male,group B,some high school,free/reduced,none,45,46,45
male,group C,high school,standard,completed,72,72,69
female,group A,bachelor's degree,standard,completed,81,80,84
female,group E,high school,free/reduced,completed,70,74,81
female,group C,some college,free/reduced,none,69,69,69
male,group C,bachelor's degree,standard,none,58,58,58
female,group D,associate's degree,free/reduced,none,37,55,49
male,group C,high school,standard,none,58,58,54
male,group C,associate's degree,standard,none,80,88,81
female,group C,high school,standard,completed,70,79,80
male,group C,some college,free/reduced,none,64,60,56
female,group D,master's degree,standard,completed,65,72,82
female,group D,some college,free/reduced,none,63,68,63
male,group C,high school,standard,completed,86,75,71
female,group C,associate's degree,standard,none,66,77,78
female,group B,bachelor's degree,standard,none,72,72,73
female,group C,some college,free/reduced,none,43,50,53
male,group B,some high school,standard,none,52,51,44
male,group D,associate's degree,standard,none,80,75,72
male,group E,associate's degree,standard,none,89,72,70
male,group E,associate's degree,free/reduced,completed,67,63,64
male,group C,bachelor's degree,standard,completed,89,75,83
male,group C,some high school,standard,none,67,74,63
female,group B,high school,free/reduced,none,40,56,49
male,group D,some college,standard,none,76,78,72
male,group C,high school,standard,none,73,66,68
male,group C,some high school,standard,none,69,66,65
male,group B,associate's degree,free/reduced,none,74,78,78
female,group C,some college,standard,none,81,91,92
female,group B,some high school,free/reduced,none,41,56,54
male,group D,some college,standard,completed,97,92,97
female,group D,associate's degree,standard,none,62,67,76
female,group B,high school,standard,completed,58,65,65
male,group A,some college,standard,none,64,62,58
female,group C,high school,free/reduced,none,62,63,59
male,group D,associate's degree,standard,none,91,81,77
female,group A,some high school,free/reduced,none,53,68,62
female,group C,some college,standard,none,49,59,60
female,group C,high school,standard,none,48,60,49
male,group B,some high school,standard,completed,73,75,75
male,group B,some college,free/reduced,none,43,40,39
female,group E,some college,standard,none,60,53,59
male,group C,bachelor's degree,standard,none,68,70,63
female,group E,some high school,standard,none,72,65,67
female,group A,associate's degree,free/reduced,none,59,75,72
male,group B,high school,free/reduced,none,46,40,41
male,group D,high school,standard,none,87,90,81
male,group D,some college,standard,none,79,64,72
female,group B,bachelor's degree,standard,completed,78,80,85
male,group D,bachelor's degree,free/reduced,completed,91,85,86
female,group B,associate's degree,standard,completed,92,97,97
male,group D,associate's degree,standard,none,69,65,60
male,group D,high school,standard,completed,92,86,88
male,group D,some college,standard,completed,93,87,94
male,group C,some high school,standard,none,54,56,57
male,group C,master's degree,standard,completed,83,83,91
male,group A,some college,standard,none,75,69,69
female,group C,high school,standard,none,84,90,86
female,group D,bachelor's degree,standard,none,74,72,81
female,group C,bachelor's degree,standard,completed,86,89,94
male,group E,some high school,standard,none,51,38,35
male,group C,high school,standard,none,72,66,59
male,group C,bachelor's degree,standard,none,68,66,58
male,group D,associate's degree,free/reduced,none,53,55,58
male,group E,high school,free/reduced,none,52,47,44
male,group C,bachelor's degree,free/reduced,none,61,61,60
male,group C,high school,standard,none,90,84,81
female,group E,some college,standard,completed,96,100,100
male,group A,high school,free/reduced,none,41,49,46
female,group E,some college,free/reduced,none,63,66,61
female,group D,some high school,standard,completed,45,63,62
female,group C,some college,free/reduced,none,47,58,57
female,group C,some college,standard,none,61,66,60
female,group E,some high school,standard,completed,85,87,87
male,group D,associate's degree,standard,completed,78,81,79
male,group D,associate's degree,standard,none,78,71,66
male,group C,some high school,standard,none,60,51,50
female,group C,high school,free/reduced,completed,59,77,73
female,group D,some college,standard,none,51,73,69
male,group C,some college,free/reduced,completed,81,77,83
male,group D,high school,standard,none,72,68,72
male,group C,bachelor's degree,free/reduced,none,48,58,51
male,group C,master's degree,free/reduced,none,52,55,54
male,group C,high school,standard,none,52,51,47
male,group B,some high school,standard,none,65,57,53
female,group C,some college,standard,none,84,84,87
female,group B,associate's degree,standard,none,77,77,81
male,group E,some college,standard,none,77,62,59
female,group C,some college,free/reduced,none,18,24,31
female,group B,some college,free/reduced,none,48,62,58
female,group C,some high school,standard,none,43,55,47
male,group B,some college,standard,completed,60,50,54
female,group D,associate's degree,free/reduced,completed,53,70,73
female,group D,high school,standard,completed,76,84,87
male,group B,bachelor's degree,standard,none,71,62,67
male,group C,master's degree,free/reduced,none,61,60,56
female,group D,high school,free/reduced,none,48,47,46
male,group C,associate's degree,standard,completed,76,74,69
female,group D,high school,free/reduced,none,60,66,67
female,group D,associate's degree,free/reduced,none,67,69,69
male,group C,associate's degree,standard,none,85,77,78
male,group B,associate's degree,standard,completed,54,57,50
female,group C,associate's degree,standard,none,78,82,80
male,group D,high school,free/reduced,completed,64,76,71
male,group E,associate's degree,standard,completed,89,81,79
male,group E,bachelor's degree,free/reduced,none,60,57,55
male,group D,some college,standard,completed,94,89,92
male,group B,high school,standard,none,86,81,67
female,group D,some college,free/reduced,none,58,69,69
female,group A,bachelor's degree,standard,none,69,80,75
female,group B,some high school,standard,completed,71,84,90
male,group D,some college,standard,none,62,65,64
male,group E,some high school,standard,none,84,72,73
female,group E,associate's degree,standard,none,70,75,70
female,group C,some college,free/reduced,completed,71,93,89
female,group D,some college,standard,none,38,43,41
female,group A,associate's degree,standard,completed,90,98,99
female,group B,bachelor's degree,free/reduced,completed,54,73,70
male,group D,some high school,standard,completed,79,80,81
male,group C,master's degree,standard,none,92,81,80
female,group D,some high school,free/reduced,none,42,48,49
male,group D,bachelor's degree,standard,none,83,75,68
male,group D,high school,free/reduced,completed,42,34,35
female,group D,some high school,free/reduced,none,53,68,60
female,group B,some college,free/reduced,none,41,55,49
female,group A,associate's degree,standard,completed,96,100,99
female,group E,high school,standard,none,71,69,73
female,group C,associate's degree,standard,completed,56,75,74
female,group C,some college,standard,none,63,73,74
male,group B,high school,standard,completed,82,97,91
female,group A,some high school,standard,none,73,75,73
male,group B,some high school,free/reduced,none,50,54,43
female,group D,high school,standard,none,83,85,87
female,group C,some college,standard,none,58,64,63
male,group C,some high school,standard,none,42,30,34
male,group C,associate's degree,standard,none,78,76,72
female,group B,some college,standard,none,70,76,79
female,group C,some college,standard,completed,59,58,64
male,group B,high school,free/reduced,completed,50,47,48
male,group C,bachelor's degree,free/reduced,none,64,68,54
female,group C,associate's degree,standard,none,90,93,93
female,group B,high school,free/reduced,none,43,50,47
male,group D,associate's degree,standard,completed,81,73,80
male,group B,some high school,standard,completed,44,51,53
male,group D,some college,standard,none,70,65,66
female,group B,high school,free/reduced,none,29,28,33
female,group D,high school,free/reduced,completed,52,66,68
male,group E,some college,free/reduced,none,71,66,66
male,group C,some high school,standard,none,67,59,62
male,group B,associate's degree,free/reduced,none,42,55,51
female,group C,high school,standard,none,78,78,76
male,group B,some college,standard,none,66,68,67
female,group B,high school,free/reduced,completed,64,82,79
male,group D,some college,free/reduced,none,72,74,67
male,group E,some high school,standard,none,77,68,59
male,group B,some college,standard,none,79,69,73
male,group B,high school,standard,none,46,39,27
male,group D,some college,standard,none,66,71,68
male,group D,associate's degree,standard,completed,67,71,70
female,group C,some college,free/reduced,none,67,79,77
female,group C,bachelor's degree,free/reduced,completed,56,64,69
female,group C,some college,free/reduced,completed,60,67,70
male,group B,some college,standard,none,49,50,54
female,group C,associate's degree,standard,none,87,92,94
female,group D,some high school,standard,completed,70,79,88
male,group C,some college,standard,completed,56,40,42
female,group E,some high school,standard,none,90,100,96
male,group E,some college,free/reduced,completed,69,56,65
female,group D,high school,standard,none,53,65,62
male,group D,high school,standard,completed,70,64,62
female,group E,high school,free/reduced,completed,71,76,74
male,group D,bachelor's degree,standard,none,63,63,58
female,group E,some college,standard,none,73,72,74
female,group D,high school,standard,none,65,76,72
female,group C,some college,standard,none,54,59,58
female,group E,some college,free/reduced,completed,79,86,90
male,group D,master's degree,standard,none,70,59,61
female,group D,some high school,standard,completed,85,96,94
male,group D,high school,standard,completed,82,70,77
male,group C,master's degree,free/reduced,completed,79,81,78
male,group A,some high school,standard,completed,100,92,93
female,group E,master's degree,standard,none,93,100,100
male,group B,some college,standard,none,45,42,41
male,group A,associate's degree,standard,completed,93,97,97
male,group E,some college,free/reduced,completed,64,75,72
male,group B,associate's degree,free/reduced,none,68,60,60
female,group C,bachelor's degree,standard,none,82,84,87
female,group B,associate's degree,standard,completed,69,84,92
male,group E,some high school,free/reduced,none,87,68,69
female,group D,associate's degree,standard,completed,79,95,88
female,group E,some high school,free/reduced,none,65,72,64
female,group D,high school,free/reduced,none,54,64,62
female,group D,some college,standard,none,79,89,94
female,group B,high school,standard,none,63,72,67
female,group A,some college,standard,none,85,98,90
female,group A,bachelor's degree,standard,completed,57,67,65
male,group B,master's degree,standard,none,66,59,52
male,group A,high school,free/reduced,none,45,46,42
male,group D,some high school,standard,completed,81,78,81
female,group D,bachelor's degree,standard,completed,71,81,86
female,group E,bachelor's degree,standard,none,76,75,73
male,group B,some high school,free/reduced,none,75,73,70
male,group C,associate's degree,free/reduced,completed,70,70,71
male,group C,associate's degree,standard,none,55,60,58
male,group B,associate's degree,free/reduced,completed,90,85,85
female,group A,high school,standard,none,87,93,89
female,group D,high school,standard,none,79,82,79
male,group B,some college,standard,none,59,48,50
female,group C,high school,standard,none,70,71,77
male,group D,bachelor's degree,free/reduced,completed,50,61,54
female,group E,high school,standard,none,96,96,95
male,group E,high school,free/reduced,none,85,75,69
female,group D,associate's degree,free/reduced,none,48,50,54
female,group B,bachelor's degree,standard,completed,56,67,66
female,group B,some high school,free/reduced,none,61,82,76
male,group B,some high school,standard,completed,86,89,91
female,group D,high school,standard,none,73,73,64
male,group C,some college,standard,none,45,39,44
male,group C,high school,standard,completed,78,76,80
male,group C,associate's degree,standard,none,44,56,49
female,group C,associate's degree,free/reduced,none,44,48,44
male,group B,high school,standard,none,79,78,64
male,group C,some high school,standard,none,64,70,71
female,group E,high school,free/reduced,none,49,61,57
male,group A,bachelor's degree,standard,none,50,55,48
male,group C,some high school,standard,none,65,62,59
female,group C,high school,standard,none,60,64,59
female,group C,some college,standard,none,62,54,57
male,group D,high school,standard,none,80,72,71
male,group E,some college,standard,none,83,73,66
female,group C,some high school,standard,none,46,43,46
male,group E,associate's degree,free/reduced,completed,70,70,67
female,group B,some high school,free/reduced,completed,65,85,84
female,group B,associate's degree,standard,none,77,94,89
female,group C,master's degree,free/reduced,completed,87,91,96
male,group D,high school,standard,completed,55,58,61
male,group C,associate's degree,standard,none,71,65,59
male,group B,high school,free/reduced,none,56,61,53
male,group D,some high school,standard,completed,88,85,79
female,group B,high school,standard,none,62,67,70
male,group D,some high school,free/reduced,none,55,60,51
male,group C,some college,standard,none,76,66,67
female,group C,associate's degree,standard,none,60,72,74
male,group C,bachelor's degree,standard,completed,59,58,60
female,group E,some college,standard,none,64,65,66
male,group C,some college,standard,none,65,58,60
female,group C,some college,standard,none,74,72,81
female,group B,some high school,standard,completed,59,77,75
female,group B,associate's degree,standard,completed,56,65,64
female,group C,some college,standard,none,75,83,81
male,group C,bachelor's degree,standard,completed,78,75,70
female,group B,master's degree,free/reduced,none,73,77,75
female,group B,some college,free/reduced,none,50,71,73
male,group E,bachelor's degree,standard,none,79,67,64
female,group D,bachelor's degree,free/reduced,none,74,88,91
female,group C,high school,standard,none,60,75,71
male,group B,high school,standard,none,36,37,34
male,group A,bachelor's degree,standard,none,59,59,56
male,group E,some college,standard,none,92,77,76
male,group D,some college,standard,none,72,82,72
male,group C,some college,standard,none,58,50,53
male,group D,master's degree,standard,none,88,92,85
male,group D,bachelor's degree,free/reduced,completed,65,65,66
male,group D,some high school,standard,completed,49,50,54
female,group D,associate's degree,free/reduced,none,65,79,85
male,group E,high school,standard,completed,62,53,57
male,group E,some high school,standard,none,73,65,57
male,group C,associate's degree,standard,none,69,65,57
female,group B,some college,standard,completed,55,58,64
male,group C,some high school,standard,none,69,59,59
male,group C,bachelor's degree,standard,completed,80,77,77
male,group E,bachelor's degree,free/reduced,completed,72,69,69
female,group C,high school,standard,completed,47,52,52
male,group C,bachelor's degree,standard,completed,83,84,82
male,group C,associate's degree,standard,none,81,68,63
male,group C,high school,free/reduced,none,54,54,50
female,group C,some high school,free/reduced,completed,58,88,86
male,group B,some college,standard,none,72,68,65
female,group B,associate's degree,standard,none,56,64,62
female,group C,associate's degree,standard,none,56,72,69
female,group E,bachelor's degree,free/reduced,none,51,57,55
male,group C,some high school,free/reduced,none,35,39,35
male,group B,high school,free/reduced,none,39,26,22
male,group B,some college,standard,none,80,75,72
male,group B,some college,free/reduced,none,58,56,54
male,group A,some college,standard,none,71,57,54
male,group D,high school,standard,none,74,54,56
female,group D,bachelor's degree,free/reduced,none,59,73,81
female,group D,associate's degree,standard,none,62,66,68
female,group C,some college,free/reduced,none,63,71,74
female,group B,high school,standard,none,79,99,96
female,group B,master's degree,standard,none,87,100,95
male,group C,associate's degree,standard,none,73,69,64
female,group B,associate's degree,free/reduced,none,56,78,66
male,group D,associate's degree,standard,none,98,85,86
male,group C,some high school,standard,completed,69,57,54
female,group E,some college,free/reduced,none,72,65,68
female,group E,some high school,standard,completed,59,71,71
female,group C,associate's degree,free/reduced,none,36,53,49
female,group B,associate's degree,standard,completed,64,73,78
male,group D,associate's degree,free/reduced,none,28,38,41
male,group C,bachelor's degree,standard,none,76,80,81
male,group D,associate's degree,standard,none,66,57,59
female,group C,bachelor's degree,free/reduced,none,68,73,74
male,group C,high school,free/reduced,none,69,75,64
female,group A,some high school,free/reduced,completed,57,66,67
female,group C,bachelor's degree,free/reduced,none,58,60,62
male,group C,some college,standard,none,65,58,53
female,group C,associate's degree,standard,none,60,72,66
female,group B,bachelor's degree,standard,none,73,74,82
male,group B,associate's degree,standard,completed,79,79,79
female,group C,some college,free/reduced,none,60,73,68
male,group A,high school,free/reduced,none,61,60,46
female,group C,high school,standard,completed,82,95,97
female,group E,some college,free/reduced,none,60,57,58
male,group B,some high school,free/reduced,completed,56,52,45
female,group D,some college,standard,completed,81,89,92
male,group C,some college,standard,none,46,38,42
female,group D,associate's degree,standard,completed,74,85,79
female,group C,master's degree,standard,none,80,91,93
male,group B,high school,standard,none,73,73,66
female,group B,master's degree,standard,none,60,56,55
male,group B,some college,standard,none,78,76,76
female,group B,some high school,free/reduced,completed,62,74,66
female,group D,some college,free/reduced,none,71,76,77
male,group B,some high school,standard,none,62,55,53
female,group C,some high school,standard,none,70,72,75
female,group D,some college,free/reduced,completed,68,75,79
female,group B,high school,free/reduced,completed,57,65,68
male,group E,associate's degree,standard,none,93,72,76
male,group C,some high school,standard,none,81,71,71
female,group C,associate's degree,standard,none,52,59,61
female,group A,some college,standard,none,80,87,74
female,group B,master's degree,free/reduced,none,49,57,56
female,group B,some high school,standard,none,61,55,61
female,group C,some college,standard,none,55,61,57
female,group C,some college,standard,none,44,51,51
male,group B,some high school,free/reduced,completed,71,69,71
female,group A,some high school,standard,none,50,68,63
female,group C,bachelor's degree,free/reduced,none,79,82,86
female,group C,associate's degree,standard,none,40,55,54
male,group D,master's degree,standard,completed,68,69,74
female,group C,associate's degree,standard,completed,68,79,79
male,group C,some college,standard,none,78,81,74
male,group D,high school,free/reduced,completed,58,60,61
female,group C,some high school,standard,completed,74,74,76
female,group B,associate's degree,free/reduced,completed,56,72,74
male,group D,master's degree,standard,none,92,90,90
male,group D,some college,free/reduced,completed,85,82,85
male,group A,some high school,free/reduced,none,53,53,48
female,group C,some college,standard,completed,52,63,67
female,group C,associate's degree,standard,none,84,87,84
male,group B,some college,free/reduced,completed,65,61,61
female,group D,high school,free/reduced,completed,58,74,73
female,group B,high school,free/reduced,none,21,39,37
female,group B,some high school,standard,completed,62,66,70
male,group C,associate's degree,standard,none,68,73,61
female,group B,bachelor's degree,standard,none,81,91,83
female,group A,associate's degree,standard,completed,46,61,68
female,group D,some high school,free/reduced,completed,48,66,67
female,group D,high school,standard,completed,71,78,76
male,group D,some college,free/reduced,completed,64,62,61
male,group E,some high school,standard,completed,63,58,56
female,group C,bachelor's degree,free/reduced,completed,69,91,92
female,group C,high school,free/reduced,none,52,69,63
female,group A,associate's degree,free/reduced,none,24,38,33
female,group C,some college,standard,none,59,64,64
female,group D,associate's degree,standard,completed,59,70,73
male,group C,associate's degree,free/reduced,none,28,35,32
female,group A,associate's degree,standard,none,60,66,66
male,group C,high school,free/reduced,completed,78,80,77
female,group B,associate's degree,free/reduced,none,53,71,71
male,group C,some college,standard,none,72,66,57
male,group D,high school,standard,none,78,67,69
male,group B,bachelor's degree,standard,none,52,58,50
male,group D,associate's degree,standard,none,64,62,54
female,group C,some college,standard,completed,42,52,54
female,group C,some college,free/reduced,none,56,75,74
female,group D,some college,standard,none,87,97,90
male,group C,associate's degree,standard,completed,93,92,94
male,group D,associate's degree,free/reduced,completed,72,73,80
male,group C,some college,standard,none,67,62,56
male,group D,associate's degree,standard,completed,70,71,68
female,group E,some college,standard,completed,77,69,79
male,group B,associate's degree,standard,none,63,61,52
male,group B,some college,standard,none,50,58,53
male,group C,associate's degree,standard,none,86,80,73
male,group B,some college,standard,none,75,64,70
male,group D,some college,standard,none,64,64,67
female,group B,high school,standard,none,66,72,75
male,group C,some high school,free/reduced,none,46,41,41
female,group E,high school,standard,completed,83,83,88
male,group C,high school,standard,none,63,58,53
female,group B,bachelor's degree,free/reduced,none,67,84,85
female,group B,high school,standard,none,54,66,54
female,group D,some high school,standard,none,78,85,86
male,group D,associate's degree,standard,none,93,85,85
female,group E,some high school,free/reduced,none,64,70,64
male,group D,some high school,standard,none,61,61,54
female,group D,high school,free/reduced,none,60,69,65
male,group D,bachelor's degree,free/reduced,none,49,50,48
female,group B,some high school,standard,none,68,72,75
male,group C,some college,standard,none,67,60,63
male,group A,some high school,standard,none,74,63,58
male,group D,high school,free/reduced,completed,69,69,77
male,group D,high school,standard,none,87,80,80
male,group D,associate's degree,free/reduced,none,75,69,69
male,group C,some high school,standard,none,71,72,67
female,group C,some high school,standard,none,75,79,82
male,group D,some high school,standard,none,84,68,67
male,group B,associate's degree,free/reduced,none,74,69,64
female,group D,master's degree,standard,none,64,74,84
female,group C,some high school,free/reduced,none,40,70,66
female,group E,some college,free/reduced,none,68,80,77
female,group D,some college,free/reduced,completed,42,63,63
female,group C,associate's degree,standard,completed,74,85,94
female,group C,high school,standard,none,61,89,78
female,group D,some high school,free/reduced,none,54,59,55
male,group D,associate's degree,standard,none,82,75,68
female,group D,some college,free/reduced,completed,80,96,93
female,group D,some high school,standard,completed,73,80,82
female,group C,high school,standard,none,81,88,85
female,group C,associate's degree,standard,none,94,93,95
male,group C,associate's degree,free/reduced,completed,65,59,65
female,group A,some college,standard,completed,79,90,88
male,group B,associate's degree,free/reduced,completed,76,82,82
female,group E,high school,standard,none,57,66,59
male,group D,some college,free/reduced,none,63,61,59
male,group C,bachelor's degree,standard,none,78,75,70
female,group E,high school,standard,none,60,64,63
male,group A,master's degree,standard,completed,70,69,67
female,group C,high school,standard,none,52,66,57
female,group B,high school,standard,none,42,68,60
male,group B,bachelor's degree,standard,none,62,66,64
female,group D,associate's degree,free/reduced,completed,64,77,77
male,group B,associate's degree,free/reduced,completed,44,40,44
female,group E,some high school,standard,none,66,64,64
female,group B,some college,standard,completed,78,81,86
female,group B,high school,standard,completed,41,64,61
male,group A,some college,standard,completed,75,73,78
female,group D,associate's degree,free/reduced,completed,62,82,85
male,group C,some high school,standard,none,80,72,65
female,group C,some high school,standard,none,64,63,66
male,group A,master's degree,free/reduced,none,64,60,64
male,group E,high school,standard,none,87,63,64
female,group A,some high school,free/reduced,none,38,53,49
female,group C,some college,standard,none,70,77,82
female,group E,associate's degree,standard,none,83,90,90
female,group C,bachelor's degree,standard,none,75,77,72
male,group A,high school,free/reduced,completed,46,42,46
male,group C,high school,standard,none,76,75,60
female,group C,some college,standard,none,72,74,75
male,group E,associate's degree,standard,completed,100,100,100
male,group B,associate's degree,standard,none,92,85,82
female,group A,some college,standard,none,65,75,65
female,group C,high school,standard,none,71,79,81
female,group C,bachelor's degree,free/reduced,completed,59,62,70
male,group E,bachelor's degree,free/reduced,none,91,82,84
female,group C,some college,free/reduced,completed,51,61,60
female,group E,some college,free/reduced,none,58,63,59
male,group D,some college,free/reduced,completed,47,54,54
male,group B,high school,standard,none,77,67,63
male,group E,high school,standard,none,80,68,61
female,group D,some high school,standard,none,83,96,88
female,group C,some high school,standard,completed,58,69,63
female,group D,some high school,standard,none,70,68,74
female,group D,high school,standard,none,85,87,89
female,group C,some college,standard,none,64,70,70
female,group D,some high school,free/reduced,none,43,58,58
female,group B,some high school,standard,completed,80,92,91
male,group D,high school,standard,none,38,32,32
male,group D,high school,free/reduced,none,42,42,33
female,group C,high school,standard,none,58,59,61
male,group E,master's degree,standard,none,75,64,62
male,group D,master's degree,standard,none,99,91,96
male,group D,some high school,standard,none,82,85,78
male,group E,high school,standard,none,64,56,53
male,group B,some high school,free/reduced,completed,51,64,61
male,group A,high school,standard,none,59,63,52
male,group C,some high school,free/reduced,none,46,54,45
female,group A,master's degree,free/reduced,none,56,72,64
female,group B,some college,free/reduced,none,77,91,80
male,group D,high school,standard,none,96,81,79
female,group C,some college,standard,completed,65,69,78
male,group C,associate's degree,free/reduced,none,61,59,59
male,group E,some college,standard,none,79,67,68
female,group D,some high school,free/reduced,none,16,29,22
female,group C,bachelor's degree,standard,completed,58,74,76
male,group C,high school,standard,none,90,76,80
female,group C,associate's degree,free/reduced,none,60,69,73
female,group D,some college,standard,none,77,90,86
male,group B,some high school,standard,none,74,73,73
male,group C,some high school,standard,completed,72,68,60
female,group B,some high school,free/reduced,none,64,68,70
female,group C,bachelor's degree,free/reduced,completed,67,81,81
female,group C,associate's degree,standard,completed,74,88,86
male,group C,bachelor's degree,standard,none,67,51,57
female,group C,associate's degree,free/reduced,completed,55,64,62
male,group B,some college,free/reduced,none,49,58,52
male,group D,some college,free/reduced,none,45,56,50
female,group C,associate's degree,free/reduced,completed,70,80,80
male,group A,high school,standard,none,49,45,45
male,group C,some high school,standard,none,50,47,34
male,group E,associate's degree,free/reduced,none,76,70,68
female,group B,high school,free/reduced,completed,39,56,55
male,group D,associate's degree,free/reduced,completed,82,75,76
male,group E,high school,free/reduced,none,75,64,61
female,group C,some college,standard,none,72,80,78
male,group B,some high school,standard,completed,79,82,83
male,group C,master's degree,standard,completed,100,91,91
female,group C,some high school,standard,none,60,59,64
female,group B,some high school,free/reduced,none,47,55,56
male,group D,associate's degree,free/reduced,none,84,83,79
female,group D,some college,standard,none,94,91,93
female,group C,high school,standard,none,71,77,75
male,group A,some high school,free/reduced,none,71,66,65
male,group B,some high school,standard,completed,55,47,48
female,group B,high school,free/reduced,none,58,76,66
female,group C,master's degree,free/reduced,none,44,56,60
male,group D,high school,standard,none,53,56,54
male,group C,master's degree,free/reduced,none,72,75,67
female,group C,some high school,standard,none,63,88,81
female,group C,bachelor's degree,standard,none,52,59,59
female,group C,bachelor's degree,standard,none,65,82,80
female,group C,high school,free/reduced,completed,64,68,62
female,group D,some college,standard,none,63,74,72
female,group D,some high school,free/reduced,none,62,60,60
female,group E,some high school,standard,completed,57,53,58
female,group C,high school,standard,none,56,66,71
female,group C,master's degree,standard,none,77,90,86
male,group E,master's degree,standard,none,86,79,73
male,group E,some high school,standard,completed,89,90,87
female,group B,bachelor's degree,standard,none,44,48,54
female,group C,some high school,standard,none,70,74,78
female,group C,high school,free/reduced,completed,32,45,49
male,group C,some college,standard,none,83,79,71
female,group B,some high school,free/reduced,none,54,71,65
female,group E,some college,free/reduced,none,44,50,49
male,group C,bachelor's degree,free/reduced,none,64,62,60
female,group E,bachelor's degree,free/reduced,completed,48,76,67
male,group D,associate's degree,standard,none,99,84,88
male,group C,bachelor's degree,standard,completed,75,76,78
male,group B,some high school,free/reduced,none,47,54,46
female,group B,some college,standard,none,58,60,58
female,group B,some college,standard,completed,63,79,77
female,group D,some high school,standard,none,69,69,76
female,group C,some college,standard,none,47,65,62
male,group B,some college,standard,none,98,84,86
male,group D,associate's degree,standard,none,90,86,88
female,group D,some high school,standard,none,60,66,66
male,group D,some high school,free/reduced,none,70,68,60
male,group C,some college,standard,completed,69,61,67
male,group C,bachelor's degree,free/reduced,none,30,25,26
male,group B,some college,standard,none,59,56,52
female,group B,master's degree,standard,completed,59,77,77
female,group D,some high school,free/reduced,none,63,65,64
female,group A,some high school,standard,none,66,75,72
male,group E,associate's degree,standard,completed,96,89,82
female,group C,bachelor's degree,standard,completed,38,55,56
male,group C,some college,standard,none,61,57,53
female,group A,some college,standard,none,45,61,55
female,group E,some high school,free/reduced,completed,55,62,56
male,group A,some college,standard,completed,58,58,57
male,group C,bachelor's degree,standard,none,57,57,59
female,group C,some college,standard,none,69,80,75
female,group E,some college,free/reduced,completed,62,73,71
female,group D,some high school,free/reduced,completed,70,84,89
male,group E,bachelor's degree,free/reduced,none,58,54,47
female,group B,some college,standard,none,82,88,86
male,group C,associate's degree,standard,none,60,59,56
male,group C,high school,free/reduced,none,74,75,72
male,group B,some high school,standard,none,77,80,66
female,group C,some high school,standard,completed,75,85,81
male,group C,associate's degree,standard,none,82,76,75
female,group E,some college,standard,completed,85,92,95
female,group B,some high school,free/reduced,completed,42,58,64
male,group B,bachelor's degree,standard,none,95,84,79
male,group D,high school,free/reduced,none,71,56,56
female,group C,associate's degree,standard,completed,53,72,70
female,group C,master's degree,standard,completed,65,79,82
male,group E,some high school,standard,completed,95,79,83
female,group A,associate's degree,standard,none,56,70,66
male,group C,some high school,free/reduced,none,52,48,41
male,group E,associate's degree,free/reduced,none,79,64,64
male,group D,some college,standard,none,69,67,63
female,group C,bachelor's degree,standard,none,57,63,67
female,group E,some college,standard,none,78,83,75
female,group A,high school,standard,none,47,54,48
female,group D,some college,free/reduced,completed,49,63,64
male,group D,some college,standard,completed,82,68,78
female,group D,some high school,standard,completed,66,80,80
male,group E,some college,standard,none,90,83,75
male,group E,associate's degree,standard,completed,83,72,67
